question,answer
What is the capital of Cabo Verde?,Praia
What is the capital of Cambodia?,Phnom Penh
What is the capital of Cameroon?,Yaoundé
What is the capital of Central African Republic?,Bangui
What is the capital of Chad?,N'Djamena
What is the capital of Chile?,Santiago
What is the capital of China?,Beijing
What is the capital of Colombia?,Bogotá
What is the capital of Comoros?,Moroni
What is the capital of Congo (Republic of the)?,Brazzaville
What is the capital of Congo (Democratic Republic of the)?,Kinshasa
What is the capital of Costa Rica?,San José
What is the capital of Côte d'Ivoire?,Yamoussoukro (official; Abidjan is the economic capital)
What is the capital of Croatia?,Zagreb
What is the capital of Cuba?,Havana
What is the capital of Cyprus?,Nicosia
What is the capital of Czechia?,Prague
What is the capital of Denmark?,Copenhagen
What is the capital of Djibouti?,Djibouti
What is the capital of Dominica?,Roseau
What is the capital of Dominican Republic?,Santo Domingo
What is the capital of Ecuador?,Quito
What is the capital of Egypt?,Cairo
What is the capital of El Salvador?,San Salvador
What is the capital of Equatorial Guinea?,Malabo
What is the capital of Eritrea?,Asmara
What is the capital of Estonia?,Tallinn
What is the capital of Eswatini?,Mbabane (administrative); Lobamba (legislative and royal)
What is the capital of Ethiopia?,Addis Ababa
What is the capital of Fiji?,Suva
What is the capital of Finland?,Helsinki
What is the capital of Gabon?,Libreville
What is the capital of Gambia?,Banjul
What is the capital of Georgia?,Tbilisi
What is the capital of Ghana?,Accra
What is the capital of Greece?,Athens
What is the capital of Grenada?,Saint George's
What is the capital of Guatemala?,Guatemala City
What is the capital of Guinea?,Conakry
What is the capital of Guinea-Bissau?,Bissau
What is the capital of Guyana?,Georgetown
What is the capital of Haiti?,Port-au-Prince
What is the capital of Honduras?,Tegucigalpa
What is the capital of Hungary?,Budapest
What is the capital of Iceland?,Reykjavík
What is the capital of Indonesia?,Nusantara (designated capital; transition from Jakarta)
What is the capital of Iran?,Tehran
What is the capital of Iraq?,Baghdad
What is the capital of Ireland?,Dublin
What is the capital of Israel?,Jerusalem (seat of government; status disputed internationally)
What is the capital of Jamaica?,Kingston
What is the capital of Jordan?,Amman
What is the capital of Kazakhstan?,Astana
What is the capital of Kenya?,Nairobi
What is the capital of Kiribati?,South Tarawa
What is the capital of Kuwait?,Kuwait City
What is the capital of Kyrgyzstan?,Bishkek
What is the capital of Laos?,Vientiane
What is the capital of Latvia?,Riga
What is the capital of Lebanon?,Beirut
What is the capital of Lesotho?,Maseru
What is the capital of Liberia?,Monrovia
What is the capital of Libya?,Tripoli
What is the capital of Liechtenstein?,Vaduz
What is the capital of Lithuania?,Vilnius
What is the capital of Luxembourg?,Luxembourg
What is the capital of Madagascar?,Antananarivo
What is the capital of Malawi?,Lilongwe
What is the capital of Malaysia?,Kuala Lumpur (official; Putrajaya is the administrative centre)
What is the capital of Maldives?,Malé
What is the capital of Mali?,Bamako
What is the capital of Malta?,Valletta
What is the capital of Marshall Islands?,Majuro
What is the capital of Mauritania?,Nouakchott
What is the capital of Mauritius?,Port Louis
What is the capital of Micronesia (Federated States of)?,Palikir
What is the capital of Moldova?,Chișinău
What is the capital of Monaco?,Monaco
What is the capital of Mongolia?,Ulaanbaatar
What is the capital of Montenegro?,Podgorica
What is the capital of Morocco?,Rabat
What is the capital of Mozambique?,Maputo
What is the capital of Myanmar?,Naypyidaw
What is the capital of Namibia?,Windhoek
What is the capital of Nauru?,Yaren District (de facto; no official capital)
What is the capital of Nepal?,Kathmandu
What is the capital of Netherlands?,Amsterdam (constitutional); The Hague (seat of government)
What is the capital of New Zealand?,Wellington
What is the capital of Nicaragua?,Managua
What is the capital of Niger?,Niamey
What is the capital of Nigeria?,Abuja
What is the capital of North Korea?,Pyongyang
What is the capital of North Macedonia?,Skopje
What is the capital of Norway?,Oslo
What is the capital of Oman?,Muscat
What is the capital of Pakistan?,Islamabad
What is the capital of Palau?,Ngerulmud
What is the capital of Palestine?,East Jerusalem (claimed); Ramallah (administrative centre)
What is the capital of Panama?,Panama City
What is the capital of Papua New Guinea?,Port Moresby
What is the capital of Paraguay?,Asunción
What is the capital of Peru?,Lima
What is the capital of Philippines?,Manila
What is the capital of Poland?,Warsaw
What is the capital of Portugal?,Lisbon
What is the capital of Qatar?,Doha
What is the capital of Romania?,Bucharest
What is the capital of Rwanda?,Kigali
What is the capital of Saint Kitts and Nevis?,Basseterre
What is the capital of Saint Lucia?,Castries
What is the capital of Saint Vincent and the Grenadines?,Kingstown
What is the capital of Samoa?,Apia
What is the capital of San Marino?,San Marino
What is the capital of São Tomé and Príncipe?,São Tomé
What is the capital of Saudi Arabia?,Riyadh
What is the capital of Senegal?,Dakar
What is the capital of Serbia?,Belgrade
What is the capital of Seychelles?,Victoria
What is the capital of Sierra Leone?,Freetown
What is the capital of Singapore?,Singapore
What is the capital of Slovakia?,Bratislava
What is the capital of Slovenia?,Ljubljana
What is the capital of Solomon Islands?,Honiara
What is the capital of Somalia?,Mogadishu
What is the capital of South Africa?,Pretoria (executive); Cape Town (legislative); Bloemfontein (judicial)
What is the capital of South Sudan?,Juba
What is the capital of Sri Lanka?,Sri Jayawardenepura Kotte (official legislative); Colombo (executive and judicial)
What is the capital of Sudan?,Khartoum
What is the capital of Suriname?,Paramaribo
What is the capital of Sweden?,Stockholm
What is the capital of Switzerland?,Bern (federal city)
What is the capital of Syria?,Damascus
What is the capital of Tajikistan?,Dushanbe
What is the capital of Tanzania?,Dodoma (official); Dar es Salaam (commercial centre)
What is the capital of Thailand?,Bangkok
What is the capital of Timor-Leste?,Dili
What is the capital of Togo?,Lomé
What is the capital of Tonga?,Nuku'alofa
What is the capital of Trinidad and Tobago?,Port of Spain
What is the capital of Tunisia?,Tunis
What is the capital of Türkiye?,Ankara
What is the capital of Turkmenistan?,Ashgabat
What is the capital of Tuvalu?,Funafuti
What is the capital of Uganda?,Kampala
What is the capital of Ukraine?,Kyiv
What is the capital of United Arab Emirates?,Abu Dhabi
What is the capital of United Kingdom?,London
What is the capital of United States?,"Washington, D.C."
What is the capital of Uruguay?,Montevideo
What is the capital of Uzbekistan?,Tashkent
What is the capital of Vanuatu?,Port Vila
What is the capital of Vatican City?,Vatican City
What is the capital of Venezuela?,Caracas
What is the capital of Vietnam?,Hanoi
What is the capital of Yemen?,Sana'a
What is the capital of Zambia?,Lusaka
What is the capital of Zimbabwe?,Harare
What is the largest ocean on Earth?,Pacific Ocean
What is the smallest ocean on Earth?,Arctic Ocean
What is the largest continent by area?,Asia
What is the smallest continent by area?,Australia
What is the largest country by area?,Russia
What is the smallest country by area?,Vatican City
What is the highest mountain above sea level?,Mount Everest
What is the deepest ocean trench?,Mariana Trench
What is the largest desert in the world?,Antarctic Desert
What is the largest hot desert in the world?,Sahara Desert
Which river flows through Egypt?,Nile
Which planet is closest to the Sun?,Mercury
Which planet is farthest from the Sun?,Neptune
Which planet is famous for its prominent rings?,Saturn
What is Earth's natural satellite?,Moon
What star is at the center of our solar system?,Sun
What force attracts objects toward Earth?,Gravity
What is the chemical symbol for oxygen?,O
What is the chemical symbol for sodium?,Na
What is the chemical formula for carbon dioxide?,CO2
What is the pH of pure water at room temperature?,7
What organ pumps blood around the body?,Heart
What organ is primarily responsible for breathing?,Lungs
What is the largest organ of the human body?,Skin
What pigment gives plants their green color?,Chlorophyll
What process do plants use to make food from light?,Photosynthesis
What gas do humans need to breathe?,Oxygen
What gas do plants release during photosynthesis?,Oxygen
What is the basic unit of life?,Cell
Who wrote Romeo and Juliet?,William Shakespeare
Who wrote Pride and Prejudice?,Jane Austen
Who wrote The Odyssey?,Homer
Who painted The Last Supper?,Leonardo da Vinci
Who painted The Starry Night?,Vincent van Gogh
Who composed The Four Seasons?,Antonio Vivaldi
Who composed Symphony No. 9?,Ludwig van Beethoven
Who was the first person to walk on the Moon?,Neil Armstrong
Which ancient civilization built Machu Picchu?,The Inca
Which ancient civilization built the pyramids at Giza?,Ancient Egyptians
What is the study of past events called?,History
What is the study of weather called?,Meteorology
What is the study of earthquakes called?,Seismology
What is the largest mammal?,Blue whale
What is the fastest land animal?,Cheetah
What is the tallest animal?,Giraffe
What is a baby frog called?,Tadpole
What is a group of lions called?,Pride
What is a group of fish called?,School
What is the currency of the United States?,U.S. dollar
What is the currency of India?,Indian rupee
What is the currency of the European Union?,Euro
What language has the most native speakers?,Mandarin Chinese
What is the primary language of Brazil?,Portuguese
What is the official language most associated with Egypt?,Arabic
In which city is the United Nations headquarters located?,New York City
How many days are in a leap year?,366
How many hours are in a day?,24
How many minutes are in an hour?,60
How many seconds are in a minute?,60
How many sides does an octagon have?,8
What is a triangle with three equal sides called?,Equilateral triangle
What is the approximate value of pi to two decimal places?,3.14
What is the Roman numeral for 50?,L
What is the Roman numeral for 100?,C
What is the binary representation of decimal 2?,10
What does CPU stand for?,Central Processing Unit
What does URL stand for?,Uniform Resource Locator
What does HTML stand for?,HyperText Markup Language
What does PDF stand for?,Portable Document Format
What is the main circuit board in a computer called?,Motherboard
What device is used to measure temperature?,Thermometer
What device is used to measure atmospheric pressure?,Barometer
What instrument measures earthquakes?,Seismograph
What is the hardest natural substance?,Diamond
What metal is liquid at room temperature?,Mercury
What is the process of liquid changing into gas called?,Evaporation
What is the process of gas changing into liquid called?,Condensation
What is the process of solid changing directly into gas called?,Sublimation
What is the freezing point of water in Celsius?,0
What is the boiling point of water in Celsius at sea level?,100
What is the unit of electric current?,Ampere
What is the unit of force?,Newton
What is the unit of power?,Watt
What is the unit of frequency?,Hertz
What is the unit of resistance?,Ohm
What is the nearest star to Earth after the Sun?,Proxima Centauri
How many bones are in the typical adult human body?,206
How many chambers does the human heart have?,4
How many pairs of chromosomes do humans typically have?,23
What blood type is often called the universal donor for red cells?,O negative
What vitamin is produced in skin through sunlight exposure?,Vitamin D
What is the largest internal organ in the human body?,Liver
What is the main sugar found in blood?,Glucose
What part of a plant absorbs water from soil?,Roots
What part of a flower produces pollen?,Anther
What is the process by which a caterpillar becomes a butterfly?,Metamorphosis
What is the largest living bird?,Ostrich
What is the only mammal capable of sustained flight?,Bat
What type of animal is a dolphin?,Mammal
What type of animal is a frog?,Amphibian
What type of animal is a snake?,Reptile
What is the study of maps called?,Cartography
What line divides Earth into Northern and Southern Hemispheres?,Equator
What is the Prime Meridian also called?,Greenwich Meridian
What are lines of equal elevation on a map called?,Contour lines
Which country is shaped like a boot?,Italy
Which city is known as the City of Light?,Paris
Which country is famous for the Great Barrier Reef?,Australia
Which country is home to the Taj Mahal?,India
Which country is home to the ancient city of Petra?,Jordan
Which sea separates Europe and Africa?,Mediterranean Sea
Which canal connects the Mediterranean Sea and the Red Sea?,Suez Canal
Which canal connects the Atlantic and Pacific Oceans?,Panama Canal
What is the largest island in the world?,Greenland
What is the largest lake by surface area?,Caspian Sea
What is the deepest lake in the world?,Lake Baikal
What is the longest mountain range on land?,Andes
What is the name of the line at 0 degrees longitude?,Prime Meridian
What is the name of the line at 0 degrees latitude?,Equator
What is the traditional number of Olympic rings?,5
How many players are on a soccer team on the field?,11
How many bases are on a baseball diamond?,4
How many squares are on a chessboard?,64
How many pieces does each player start with in chess?,16
What is the highest possible score in a single turn of ten-pin bowling?,30
What sport uses a shuttlecock?,Badminton
What sport uses wickets?,Cricket
What sport is played at Wimbledon?,Tennis
What color card sends a soccer player off the field?,Red
What is the term for three strikes in a row in bowling?,Turkey
What is the main ingredient in hummus?,Chickpeas
What grain is traditionally used to make risotto?,Rice
What fruit is used to make guacamole?,Avocado
What spice comes from the dried stigma of a crocus flower?,Saffron
What is tofu primarily made from?,Soybeans
What is the main ingredient in traditional bread?,Flour
What is the process of preserving food in vinegar called?,Pickling
What taste is associated with acids such as lemon juice?,Sour
What are the three primary colors of light?,"Red, green, and blue"
What color results from mixing blue and yellow paint?,Green
What color results from mixing red and blue paint?,Purple
What shape has all points on its boundary equally distant from its center?,Circle
What is a word with the opposite meaning called?,Antonym
What is a word with a similar meaning called?,Synonym
What is a sentence that asks a question called?,Interrogative sentence
What punctuation mark ends most questions?,Question mark
What is the plural of mouse?,Mice
What is the past tense of go?,Went
What is the adjective form of beauty?,Beautiful
What is the first letter of the Greek alphabet?,Alpha
What is the last letter of the Greek alphabet?,Omega
What does WWW stand for?,World Wide Web
What does GPS stand for?,Global Positioning System
What does USB stand for?,Universal Serial Bus
What does AI stand for?,Artificial Intelligence
What type of software is used to browse websites?,Web browser
What is a saved copy of data used for recovery called?,Backup
What is malicious software commonly called?,Malware
What is the strong encryption of a website connection commonly indicated by?,HTTPS
What is the most abundant gas in Earth's atmosphere?,Nitrogen
What layer protects Earth from much ultraviolet radiation?,Ozone layer
What is molten rock beneath Earth's surface called?,Magma
What is molten rock on Earth's surface called?,Lava
What is the outermost solid layer of Earth called?,Crust
What instrument is used to view distant objects in space?,Telescope
What is the study of stars and planets called?,Astronomy
What is the apparent path of the Sun across the sky called?,Ecliptic
What is the name of our galaxy?,Milky Way
What is a rock from space that reaches Earth's surface called?,Meteorite
What is 1 + 1?,2
What is 1 + 2?,3
What is 1 + 3?,4
What is 1 + 4?,5
What is 1 + 5?,6
What is 1 + 6?,7
What is 1 + 7?,8
What is 1 + 8?,9
What is 1 + 9?,10
What is 1 + 10?,11
What is 2 + 1?,3
What is 2 + 2?,4
What is 2 + 3?,5
What is 2 + 4?,6
What is 2 + 5?,7
What is 2 + 6?,8
What is 2 + 7?,9
What is 2 + 8?,10
What is 2 + 9?,11
What is 2 + 10?,12
What is 3 + 1?,4
What is 3 + 2?,5
What is 3 + 3?,6
What is 3 + 4?,7
What is 3 + 5?,8
What is 3 + 6?,9
What is 3 + 7?,10
What is 3 + 8?,11
What is 3 + 9?,12
What is 3 + 10?,13
What is 4 + 1?,5
What is 4 + 2?,6
What is 4 + 3?,7
What is 4 + 4?,8
What is 4 + 5?,9
What is 4 + 6?,10
What is 4 + 7?,11
What is 4 + 8?,12
What is 4 + 9?,13
What is 4 + 10?,14
What is 5 + 1?,6
What is 5 + 2?,7
What is 5 + 3?,8
What is 5 + 4?,9
What is 5 + 5?,10
What is 5 + 6?,11
What is 5 + 7?,12
What is 5 + 8?,13
What is 5 + 9?,14
What is 5 + 10?,15
What is 6 + 1?,7
What is 6 + 2?,8
What is 6 + 3?,9
What is 6 + 4?,10
What is 6 + 5?,11
What is 6 + 6?,12
What is 6 + 7?,13
What is 6 + 8?,14
